id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,field21,eva_hrs_mission,total_eva_hrs
743,311,78,"Malenchenko, Yuri",Юрий Иванович Маленченко,male,1961,U.S.S.R/Russia,military,TsPK-8,1987,3,6,commander,2003,7,Soyuz TMA­2,ISS,Soyuz TMA­2,4438,0,0,34.83
744,311,78,"Malenchenko, Yuri",Юрий Иванович Маленченко,male,1961,U.S.S.R/Russia,military,TsPK-8,1987,4,6,commander,2007,16,Soyuz TMA­11,ISS,Soyuz TMA­11,4603,1,6.92,34.83
745,311,78,"Malenchenko, Yuri",Юрий Иванович Маленченко,male,1961,U.S.S.R/Russia,military,TsPK-8,1987,5,6,commander,2012,32,Soyuz TMA­05M,ISS,Soyuz TMA­05M,3047,1,5.85,34.83
746,311,78,"Malenchenko, Yuri",Юрий Иванович Маленченко,male,1961,U.S.S.R/Russia,military,TsPK-8,1987,6,6,commander,2015,46,Soyuz TMA­19M,ISS,in space,1477,1,4.72,34.83
747,312,79,"Musabayev, Talgat",Талғат Аманкелдіұлы Мұсабаев,male,1951,U.S.S.R/Russia,military,MGA/Kazakhstan,1990,1,3,flight engineer,1994,16,Soyuz TM­19,Mir,Soyuz TM­19,3002,2,11.12,42.6
748,312,79,"Musabayev, Talgat",Талғат Аманкелдіұлы Мұсабаев,male,1951,U.S.S.R/Russia,military,MGA/Kazakhstan,1990,2,3,commander,1998,25,Soyuz TM­27,Mir,Soyuz TM­27,4980,6,31.48,42.6
749,312,79,"Musabayev, Talgat",Талғат Аманкелдіұлы Мұсабаев,male,1951,U.S.S.R/Russia,military,MGA/Kazakhstan,1990,3,3,commander,2001,Soyuz TM­32/31,Soyuz TM­32,Soyuz TM­32,Soyuz TM­31,190,0,0,42.6
750,313,198,"Halsell, James D., Jr.","Halsell, James D., Jr.",male,1956,U.S.,military,NASA Astronaut Group 13,1990,1,5,pilot,1994,STS-65,STS-65,STS-65,STS-65,353,0,0,0
751,313,198,"Halsell, James D., Jr.","Halsell, James D., Jr.",male,1956,U.S.,military,NASA Astronaut Group 14,1990,2,5,pilot,1995,STS-74,STS-74,STS-74,STS-74,196,0,0,0
752,313,198,"Halsell, James D., Jr.","Halsell, James D., Jr.",male,1956,U.S.,military,NASA Astronaut Group 15,1990,3,5,commander,1997,STS-83,STS-83,STS-83,STS-83,95,0,0,0
