id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,field21,eva_hrs_mission,total_eva_hrs
284,136,56,"Solovyov, Vladimir",Владимир Алексеевич Соловьёв,male,1946,U.S.S.R/Russia,civilian,NPOE-4,1978,2,2,flight engineer,1986,1,Soyuz T­15,Mir/Salyut 7,Soyuz T­15,3000,2,8.83,31.67
285,137,57,"Atkov, Oleg",Олег Юрьевич Атьков,male,1949,U.S.S.R/Russia,civilian,AMN,1983,1,1,MSP,1984,Salyut 7,Soyuz T-10,Salyut 7,Soyuz T-11,5686,0,0,0
286,138,1,Rakesh Sharma,राकेश शर्मा,male,1949,India,military,1982 Soviet Intercosmos Space Program,1982,1,1,pilot,1984,Salyut 7,Soyuz T-10,Salyut 7,Soyuz T-11,4365.8,0,0,0
287,139,70,"Scobee, Francis R.","Scobee, Francis R.",male,1939,U.S.,military,1978 NASA group 8,1978,1,2,pilot,1984,STS-41-C,STS-41-C,STS-41-C,STS-41-C,168,0,0,0
288,139,70,"Scobee, Francis R.","Scobee, Francis R.",male,1939,U.S.,military,1978 NASA group 8,1978,2,2,commander,1986,STS-51-L,STS-51-L,explosion,explosion,0,0,0,0
289,140,71,"Hart, Terry J.","Hart, Terry J.",male,1946,U.S.,civilian,NASA Astronaut Group 8,1978,1,1,MSP,1984,STS-41-C,STS-41-C,STS-41-C,STS-41-C,167.67,0,0,0
290,141,72,"Van Hoften, James D. A.","Van Hoften, James D. A.",male,1944,U.S.,civilian,1978 NASA group,1978,1,2,MSP,1984,STS-41 C,STS-41 C,STS-41 C,STS-41 C,167,2,10.13,21.89
291,141,72,"Van Hoften, James D. A.","Van Hoften, James D. A.",male,1944,U.S.,civilian,1978 NASA group,1978,2,2,MSP,1985,STS-51I,STS-51I,STS-51I,STS-51I,171,2,11.76,21.89
292,142,73,"Nelson, George D.","Nelson, George D.",male,1950,U.S.,civilian,NASA-8,1978,1,3,MSP,1984,STS-41C,STS-41C,STS-41C,STS-41C,168,2,10.1,10.1
293,142,73,"Nelson, George D.","Nelson, George D.",male,1950,U.S.,civilian,NASA-8,1978,2,3,MSP,1986,STS-61C,STS-61C,STS-61C,STS-61C,146,0,0,10.1
294,142,73,"Nelson, George D.","Nelson, George D.",male,1950,U.S.,civilian,NASA-8,1978,3,3,MSP,1988,STS-26,STS-26,STS-26,STS-26,97,0,0,10.1
295,143,58,"Volk, Igor",Игорь Петрович Волк,male,1937,U.S.S.R/Russia,military,LII-1,1977,1,1,MSP,1984,Salyut 7,Soyuz T­12,Salyut 7,Soyuz T­12,283,0,0,0
296,144,74,"Coats, Michael L.","Coats, Michael L.",male,1952,U.S.,military,NASA- 8,1978,1,3,pilot,1984,STS-41-D,STS-41-D,STS-41-D,STS-41-D,145,0,0,0
297,144,74,"Coats, Michael L.","Coats, Michael L.",male,1952,U.S.,military,NASA- 8,1978,2,3,commander,1989,STS-29,STS-29,STS-29,STS-29,120,0,0,0
298,144,74,"Coats, Michael L.","Coats, Michael L.",male,1952,U.S.,military,NASA- 8,1978,3,3,commander,1991,STS-39,STS-39,STS-39,STS-39,199,0,0,0
299,145,75,"Mullane, Richard M.","Mullane, Richard M.",male,1945,U.S.,military,NASA-8,1978,1,3,MSP,1984,STS-41D,STS-41D,STS-41D,STS-41D,145,0,0,0
300,145,75,"Mullane, Richard M.","Mullane, Richard M.",male,1945,U.S.,military,NASA-8,1978,2,3,MSP,1988,STS-27,STS-27,STS-27,STS-27,105,0,0,0
301,145,75,"Mullane, Richard M.","Mullane, Richard M.",male,1945,U.S.,military,NASA-8,1978,3,3,MSP,1990,STS-36,STS-36,STS-36,STS-36,106,0,0,0
302,146,76,"Hawley, Steven A.","Hawley, Steven A.",male,1951,U.S.,civilian,NASA Astronaut Group 8,1978,1,5,MSP,1984,STS-41-D,STS-41-D,STS-41-D,STS-41-D,144,0,0,0
303,146,76,"Hawley, Steven A.","Hawley, Steven A.",male,1951,U.S.,civilian,NASA Astronaut Group 8,1978,2,5,MSP,1986,STS-61-C,STS-61-C,STS-61-C,STS-61-C,146,0,0,0
304,146,76,"Hawley, Steven A.","Hawley, Steven A.",male,1951,U.S.,civilian,NASA Astronaut Group 8,1978,3,5,MSP,1990,STS-31,STS-31,STS-31,STS-31,121,0,0,0
305,146,76,"Hawley, Steven A.","Hawley, Steven A.",male,1951,U.S.,civilian,NASA Astronaut Group 8,1978,4,5,MSP,1997,STS-82,STS-82,STS-82,STS-82,239,0,0,0
306,146,76,"Hawley, Steven A.","Hawley, Steven A.",male,1951,U.S.,civilian,NASA Astronaut Group 8,1978,5,5,MSP,1999,STS-93,STS-93,STS-93,STS-93,118,0,0,0
307,147,77,"Resnik, Judith A.","Resnik, Judith A.",female,1949,U.S.,civilian,NASA-8,1978,1,2,MSP,1984,STS-41-D,STS-41-D,STS-41-D,STS-41-D,144,0,0,0
308,147,77,"Resnik, Judith A.","Resnik, Judith A.",female,1949,U.S.,civilian,NASA-9,1978,2,2,MSP,1985,STS-51-L,STS-51-L,explosion,explosion,0,0,0,0
309,148,78,"Walker, Charles David","Walker, Charles David",male,1948,U.S.,civilian,PS,1983,1,3,PSP,1984,STS-41D,STS-41D,STS-41D,STS-41D,144.98,0,0,0
310,148,78,"Walker, Charles David","Walker, Charles David",male,1948,U.S.,civilian,PS,1983,2,3,PSP,1985,STS-51D,STS-51D,STS-51D,STS-51D,168.15,0,0,0
311,148,78,"Walker, Charles David","Walker, Charles David",male,1948,U.S.,civilian,PS,1983,3,3,PSP,1985,STS-61B,STS-61B,STS-61B,STS-61B,165.16,0,0,0
312,149,79,"McBride, Jon A.","McBride, Jon A.",male,1943,U.S.,military,NASA- 8,1978,1,1,pilot,1984,STS-41-G,STS-41-G,STS-41-G,STS-41-G,197,0,0,0
313,150,80,"Sullivan, Kathryn D.","Sullivan, Kathryn D.",female,1951,U.S.,civilian,1978 NASA group,1978,1,3,MSP,1984,STS-41-G,STS-41-G,STS-41-G,STS-41-G,197.5,1,3.45,3.45
314,150,80,"Sullivan, Kathryn D.","Sullivan, Kathryn D.",female,1951,U.S.,civilian,1978 NASA group,1978,2,3,MSP,1990,STS-31,STS-31,STS-31,STS-31,121,0,0,3.45
315,150,80,"Sullivan, Kathryn D.","Sullivan, Kathryn D.",female,1951,U.S.,civilian,1978 NASA group,1978,3,3,MSP,1992,STS-45,STS-45,STS-45,STS-45,213.5,0,0,3.45
316,151,81,"Leestma, David C.","Leestma, David C.",male,1949,U.S.,military,NASA- 9,1980,1,3,MSP,1984,STS-41-G,STS-41-G,STS-41-G,STS-41-G,197,1,1,3.5
317,151,81,"Leestma, David C.","Leestma, David C.",male,1949,U.S.,military,NASA- 9,1980,2,3,MSP,1989,STS-28,STS-28,STS-28,STS-28,121,0,0,3.5
318,151,81,"Leestma, David C.","Leestma, David C.",male,1949,U.S.,military,NASA- 9,1980,3,3,MSP,1992,STS-45,STS-45,STS-45,STS-45,214,0,0,3.5
319,152,82,"Scully-Power, Paul Desmond","Scully-Power, Paul Desmond",male,1944,U.S.,civilian,PS,1984,1,1,PSP,1984,STS-41-G,STS-41-G,STS-41-G,STS-41-G,197.67,0,0,0
320,153,1,"Garneau, Marc Joseph Jean-Pierre","Garneau, Marc Joseph Jean-Pierre",male,1949,Canada,military,1983 NRC Group,1983,1,3,PSP,1984,STS-41-G,STS-41-G,STS-41-G,STS-41-G,197,0,0,0
321,153,1,"Garneau, Marc Joseph Jean-Pierre","Garneau, Marc Joseph Jean-Pierre",male,1949,Canada,military,1983 NRC Group,1983,2,3,MSP,1996,STS-77,STS-77,STS-77,STS-77,240.67,0,0,0
322,153,1,"Garneau, Marc Joseph Jean-Pierre","Garneau, Marc Joseph Jean-Pierre",male,1949,Canada,military,1983 NRC Group,1983,3,3,MSP,2000,STS-97,STS-97,STS-97,STS-97,260,0,0,0
323,154,83,"Walker, David Mathieson","Walker, David Mathieson",male,1944,U.S.,military,1978 NASA group 8,1978,1,4,pilot,1984,STS-51-A,STS-51-A,STS-51-A,STS-51-A,191,0,0,0
324,154,83,"Walker, David Mathieson","Walker, David Mathieson",male,1944,U.S.,military,1978 NASA group 8,1978,2,4,commander,1989,STS-30,STS-30,STS-30,STS-30,96,0,0,0
325,154,83,"Walker, David Mathieson","Walker, David Mathieson",male,1944,U.S.,military,1978 NASA group 8,1978,3,4,commander,1992,STS-53,STS-53,STS-53,STS-53,175,0,0,0
326,154,83,"Walker, David Mathieson","Walker, David Mathieson",male,1944,U.S.,military,1978 NASA group 8,1978,4,4,commander,1995,STS-69,STS-69,STS-69,STS-69,44,0,0,0
327,155,84,"Fisher, Anna L.","Fisher, Anna L.",female,1949,U.S.,civilian,NASA- 8,1978,1,1,MSP,1984,STS-51-A,STS-51-A,STS-51-A,STS-51-A,191,0,0,0
328,156,85,"Shriver, Loren J.","Shriver, Loren J.",male,1944,U.S.,military,1978 NASA group,1978,1,3,pilot,1985,STS-51-C,STS-51-C,STS-51-C,STS-51-C,73.5,0,0,0
329,156,85,"Shriver, Loren J.","Shriver, Loren J.",male,1944,U.S.,military,1978 NASA group,1978,2,3,commander,1990,STS-31,STS-31,STS-31,STS-31,121,0,0,0
330,156,85,"Shriver, Loren J.","Shriver, Loren J.",male,1944,U.S.,military,1978 NASA group,1978,3,3,commander,1992,STS-46,STS-46,STS-46,STS-46,191,0,0,0
331,157,86,"Onizuka, Ellison S.","Onizuka, Ellison S.",male,1946,U.S.,military,NASA-8,1978,1,2,MSP,1985,STS 51-C,STS 51-C,STS 51-C,STS 51-C,74,0,0,0
332,157,86,"Onizuka, Ellison S.","Onizuka, Ellison S.",male,1946,U.S.,military,NASA-8,1978,2,2,MSP,1986,STS 51-L,STS 51-L,explosion,explosion,0,0,0,0
333,158,87,"Buchli, James F.","Buchli, James F.",male,1945,U.S.,military,NASA- 8,1978,1,4,MSP,1985,STS-51-C,STS-51-C,STS-51-C,STS-51-C,73.5,0,0,0
334,158,87,"Buchli, James F.","Buchli, James F.",male,1945,U.S.,military,NASA- 8,1978,2,4,MSP,1985,STS-61-A,STS-61-A,STS-61-A,STS-61-A,168,0,0,0
335,158,87,"Buchli, James F.","Buchli, James F.",male,1945,U.S.,military,NASA- 8,1978,3,4,MSP,1989,STS-29,STS-29,STS-29,STS-29,120,0,0,0
336,158,87,"Buchli, James F.","Buchli, James F.",male,1945,U.S.,military,NASA- 8,1978,4,4,MSP,1991,STS-48,STS-48,STS-48,STS-48,128.5,0,0,0
337,159,88,"Payton, Gary Eugene","Payton, Gary Eugene",male,1948,U.S.,military,1979 USAF group,1979,1,1,PSP,1985,STS-51C,STS-51C,STS-51C,STS-51C,73.675,0,0,0
338,160,89,"Williams, Donald E.","Williams, Donald E.",male,1942,U.S.,military,1981 NASA group 8,1978,1,2,pilot,1985,STS-51-D,STS-51-D,STS-51-D,STS-51-D,167,0,0,0
339,160,89,"Williams, Donald E.","Williams, Donald E.",male,1942,U.S.,military,1981 NASA group 8,1978,2,2,commander,1989,STS-34,STS-34,STS-34,STS-34,119,0,0,0
340,161,90,"Seddon, Margaret Rhea","Seddon, Margaret Rhea",female,1947,U.S.,civilian,NASA-8,1978,1,3,MSP,1985,STS-51-D,STS-51-D,STS-51-D,STS-51-D,168,0,0,0
341,161,90,"Seddon, Margaret Rhea","Seddon, Margaret Rhea",female,1947,U.S.,civilian,NASA-8,1978,2,3,MSP,1991,STS-40,STS-40,STS-40,STS-40,218,0,0,0
342,161,90,"Seddon, Margaret Rhea","Seddon, Margaret Rhea",female,1947,U.S.,civilian,NASA-8,1978,3,3,MSP,1993,STS-58,STS-58,STS-58,STS-58,336,0,0,0
343,162,91,"Griggs, S. David","Griggs, S. David",male,1947,U.S.,civilian,NASA Astronaut Group 8,1978,1,1,MSP,1985,STS-51-D,STS-51-D,STS-51-D,STS-51-D,168,1,3.17,3.17
344,163,92,"Hoffman, Jeffrey A.","Hoffman, Jeffrey A.",male,1944,U.S.,civilian,NASA- 8,1978,1,5,MSP,1985,STS-51-D,STS-51-D,STS-51-D,STS-51-D,167,1,3.17,25.2
345,163,92,"Hoffman, Jeffrey A.","Hoffman, Jeffrey A.",male,1944,U.S.,civilian,NASA- 8,1978,2,5,MSP,1990,STS-35,STS-35,STS-35,STS-35,215,0,0,25.2
346,163,92,"Hoffman, Jeffrey A.","Hoffman, Jeffrey A.",male,1944,U.S.,civilian,NASA- 8,1978,3,5,MSP,1992,STS-46,STS-46,STS-46,STS-46,191,0,0,25.2
347,163,92,"Hoffman, Jeffrey A.","Hoffman, Jeffrey A.",male,1944,U.S.,civilian,NASA- 8,1978,4,5,MSP,1993,STS-61,STS-61,STS-61,STS-61,259,3,22.03,25.2
348,163,92,"Hoffman, Jeffrey A.","Hoffman, Jeffrey A.",male,1944,U.S.,civilian,NASA- 8,1978,5,5,MSP,1996,STS-75,STS-75,STS-75,STS-75,377,0,0,25.2
349,164,93,"Garn, Edwin Jacob","Garn, Edwin Jacob",male,1932,U.S.,military,PS,1985,1,1,PSP,1985,STS-51D,STS-51D,STS-51D,STS-51D,168.15,0,0,0
350,165,94,"Gregory, Frederick D.","Gregory, Frederick D.",male,1941,U.S.,military,NASA Astronaut Group 8,1978,1,3,pilot,1985,STS-51-B,STS-51-B,STS-51-B,STS-51-B,168,0,0,0
351,165,94,"Gregory, Frederick D.","Gregory, Frederick D.",male,1941,U.S.,military,NASA Astronaut Group 8,1978,2,3,commander,1989,STS-33,STS-33,STS-33,STS-33,120,0,0,0
352,165,94,"Gregory, Frederick D.","Gregory, Frederick D.",male,1941,U.S.,military,NASA Astronaut Group 8,1978,3,3,commander,1991,STS-44,STS-44,STS-44,STS-44,166,0,0,0
353,166,95,"Lind, Don L.","Lind, Don L.",male,1930,U.S.,military,NASA- 5,1966,1,1,MSP,1985,STS-51-B,STS-51-B,STS-51-B,STS-51-B,168,0,0,0
354,167,96,"Lodewijk, van der Berg","Lodewijk, van der Berg",male,1932,U.S.,civilian,PS,1983,1,1,PSP,1985,Spacelab-3,STS-51-B,STS-51-B,STS-51-B,168.525,0,0,0
355,168,97,"Wang, Taylor Gun-Jin",王赣骏,male,1940,U.S.,civilian,Spacelab-3 mission payload specialist,1984,1,1,PSP,1985,spacelab-3,STS-51B,STS-51B,STS-51B,168.525,0,0,0
356,169,98,"Creighton, John O.","Creighton, John O.",male,1943,U.S.,military,NASA- 8,1978,1,3,pilot,1985,STS-51-G,STS-51-G,STS-51-G,STS-51-G,170,0,0,0
357,169,98,"Creighton, John O.","Creighton, John O.",male,1943,U.S.,military,NASA- 8,1978,2,3,commander,1990,STS-36,STS-36,STS-36,STS-36,106,0,0,0
358,169,98,"Creighton, John O.","Creighton, John O.",male,1943,U.S.,military,NASA- 8,1978,3,3,commander,1991,STS-48,STS-48,STS-48,STS-48,128,0,0,0
359,170,99,"Nagel, Steven R.","Nagel, Steven R.",male,1946,U.S.,military,NASA-8,1978,1,4,MSP,1985,STS-51G,STS-51G,STS-51G,STS-51G,170,0,0,0
360,170,99,"Nagel, Steven R.","Nagel, Steven R.",male,1946,U.S.,military,NASA-8,1978,2,4,pilot,1985,STS-61A,STS-61A,STS-61A,STS-61A,169,0,0,0
361,170,99,"Nagel, Steven R.","Nagel, Steven R.",male,1946,U.S.,military,NASA-8,1978,3,4,commander,1991,STS-37,STS-37,STS-37,STS-37,143,0,0,0
362,170,99,"Nagel, Steven R.","Nagel, Steven R.",male,1946,U.S.,military,NASA-8,1978,4,4,commander,1993,STS-55,STS-55,STS-55,STS-55,240,0,0,0
363,171,100,"Lucid, Shannon W.","Lucid, Shannon W.",female,1943,U.S.,civilian,NASA- 8,1978,1,5,MSP,1985,STS-51-G,STS-51-G,STS-51-G,STS-51-G,169,0,0,0
364,171,100,"Lucid, Shannon W.","Lucid, Shannon W.",female,1943,U.S.,civilian,NASA- 8,1978,2,5,MSP,1989,STS-34,STS-34,STS-34,STS-34,119,0,0,0
365,171,100,"Lucid, Shannon W.","Lucid, Shannon W.",female,1943,U.S.,civilian,NASA- 8,1978,3,5,MSP,1991,STS-43,STS-43,STS-43,STS-43,213,0,0,0
366,171,100,"Lucid, Shannon W.","Lucid, Shannon W.",female,1943,U.S.,civilian,NASA- 8,1978,4,5,MSP,1993,STS-58,STS-58,STS-58,STS-58,336,0,0,0
367,171,100,"Lucid, Shannon W.","Lucid, Shannon W.",female,1943,U.S.,civilian,NASA- 8,1978,5,5,MSP,1996,22,STS-79,Mir,STS-76,4516,0,0,0
368,172,2,"Baudry, Patrick","Baudry, Patrick",male,1946,France,military,CNES-1,1980,1,1,PSP,1985,STS-51G,STS-51G,STS-51G,STS-51G,169.63,0,0,0
369,173,1,"Al-saud, Sultan bin Salman",NA,male,1956,Saudi Arabia,civilian,Saudi-Arabia,1985,1,1,PSP,1985,STS-51G,STS-51G,STS-51G,STS-51G,170,0,0,0
370,174,101,"Bridges, Roy D., Jr.","Bridges, Roy D., Jr.",male,1943,U.S.,military,NASA- 9,1980,1,1,pilot,1985,STS-51-F,STS-51-F,STS-51-F,STS-51-F,190,0,0,0
371,175,102,"Henize, Karl G.","Henize, Karl G.",male,1926,U.S.,civilian,NASA- 6,1967,1,1,MSP,1985,STS-51-F,STS-51-F,STS-51-F,STS-51-F,190,0,0,0
372,176,103,"England, Anthony W.","England, Anthony W.",male,1942,U.S.,civilian,NASA- 6,1967,1,1,MSP,1985,STS-51-F,STS-51-F,STS-51-F,STS-51-F,190,0,0,0
373,177,104,"Acton, Loren Wilbur","Acton, Loren Wilbur",male,1936,U.S.,civilian,PS for Spacelab-2,1978,1,1,PSP,1978,Spacelab-2,STS-51-F,STS-51-F,STS-51-F,190.94,0,0,0
374,178,105,"Bartoe, John-David Francis","Bartoe, John-David Francis",male,1944,U.S.,civilian,PS for Spacelab-2,1978,1,1,PSP,1978,STS-51-F,STS-51-F,STS-51-F,STS-51-F,190.94,0,0,0
375,179,106,"Covey, Richard O.","Covey, Richard O.",male,1946,U.S.,military,NASA- 8,1978,1,4,pilot,1985,STS-51-I,STS-51-I,STS-51-I,STS-51-I,170,0,0,0
376,179,106,"Covey, Richard O.","Covey, Richard O.",male,1946,U.S.,military,NASA- 8,1978,2,4,pilot,1988,STS-26,STS-26,STS-26,STS-26,97,0,0,0
377,179,106,"Covey, Richard O.","Covey, Richard O.",male,1946,U.S.,military,NASA- 8,1978,3,4,commander,1990,STS-38,STS-38,STS-38,STS-38,118,0,0,0
378,179,106,"Covey, Richard O.","Covey, Richard O.",male,1946,U.S.,military,NASA- 8,1978,4,4,commander,1993,STS-61,STS-61,STS-61,STS-61,260,0,0,0
379,180,107,"Lounge, John M.","Lounge, John M.",male,1946,U.S.,civilian,NASA- 9,1980,1,3,MSP,1985,STS-51-I,STS-51-I,STS-51-I,STS-51-I,170,0,0,0
380,180,107,"Lounge, John M.","Lounge, John M.",male,1946,U.S.,civilian,NASA- 9,1980,2,3,MSP,1988,STS-26,STS-26,STS-26,STS-26,97,0,0,0
381,180,107,"Lounge, John M.","Lounge, John M.",male,1946,U.S.,civilian,NASA- 9,1980,3,3,MSP,1990,STS-35,STS-35,STS-35,STS-35,215,0,0,0
382,181,108,"Fisher, William F.","Fisher, William F.",male,1946,U.S.,civilian,NASA- 9,1980,1,1,MSP,1985,STS-51-I,STS-51-I,STS-51-I,STS-51-I,170,2,11.76,11.76
383,182,59,"Vasyutin, Vladimir",Владимир Владимирович Васютин,male,1952,U.S.S.R/Russia,military,TsPK-6,1976,1,1,commander,1985,Salyut 7,Soyuz T­14,Salyut 7,Soyuz T­14,1557,0,0,0
384,183,60,"Volkov, Alexander",Александр Александрович Волков,male,1948,U.S.S.R/Russia,military,TsPK-6,1976,1,3,MSP,1985,Salyut 7,Soyuz T­14,Salyut 7,Soyuz T­14,1557,0,0,10.2
385,183,60,"Volkov, Alexander",Александр Александрович Волков,male,1948,U.S.S.R/Russia,military,TsPK-6,1976,2,3,MSP,1989,4,Soyuz TM­7,Mir,Soyuz TM­7,3635,1,6,10.2
386,183,60,"Volkov, Alexander",Александр Александрович Волков,male,1948,U.S.S.R/Russia,military,TsPK-6,1976,3,3,MSP,1992,10,Soyuz TM­13,Mir,Soyuz TM­13,4202,1,4.2,10.2
387,184,109,"Grabe, Ronald J.","Grabe, Ronald J.",male,1945,U.S.,military,NASA Astronaut Group 9,1980,1,4,pilot,1985,STS-51-J,STS-51-J,STS-51-J,STS-51-J,97.73,0,0,0
388,184,109,"Grabe, Ronald J.","Grabe, Ronald J.",male,1945,U.S.,military,NASA Astronaut Group 10,1980,2,4,pilot,1989,STS-30,STS-30,STS-30,STS-30,97,0,0,0
389,184,109,"Grabe, Ronald J.","Grabe, Ronald J.",male,1945,U.S.,military,NASA Astronaut Group 11,1980,3,4,commander,1992,STS-42,STS-42,STS-42,STS-42,193,0,0,0
390,184,109,"Grabe, Ronald J.","Grabe, Ronald J.",male,1945,U.S.,military,NASA Astronaut Group 12,1980,4,4,commander,1993,STS-57,STS-57,STS-57,STS-57,239,0,0,0
391,185,110,"Hilmers, David C.","Hilmers, David C.",male,1950,U.S.,military,NASA- 9,1980,1,4,MSP,1985,STS-51-J,STS-51-J,STS-51-J,STS-51-J,97,0,0,0
392,185,110,"Hilmers, David C.","Hilmers, David C.",male,1950,U.S.,military,NASA- 10,1980,2,4,MSP,1988,STS-26,STS-26,STS-26,STS-26,97,0,0,0
393,185,110,"Hilmers, David C.","Hilmers, David C.",male,1950,U.S.,military,NASA- 11,1980,3,4,MSP,1990,STS-36,STS-36,STS-36,STS-36,106,0,0,0
394,185,110,"Hilmers, David C.","Hilmers, David C.",male,1950,U.S.,military,NASA- 12,1980,4,4,MSP,1992,STS-42,STS-42,STS-42,STS-42,193,0,0,0
395,186,111,"Pailes, William Arthur","Pailes, William Arthur",male,1936,U.S.,military,USAF group,1982,1,1,PSP,1985,STS-51-J,STS-51-J,STS-51-J,STS-51-J,98.11,0,0,0
396,187,112,"Dunbar, Bonnie J.","Dunbar, Bonnie J.",female,1949,U.S.,civilian,NASA- 9,1980,1,5,MSP,1985,STS-61-A,STS-61-A,STS-61-A,STS-61-A,168,0,0,0
397,187,112,"Dunbar, Bonnie J.","Dunbar, Bonnie J.",female,1949,U.S.,civilian,NASA- 9,1980,2,5,MSP,1990,STS-32,STS-32,STS-32,STS-32,261,0,0,0
398,187,112,"Dunbar, Bonnie J.","Dunbar, Bonnie J.",female,1949,U.S.,civilian,NASA- 9,1980,3,5,MSP,1992,STS-50,STS-50,STS-50,STS-50,331,0,0,0
399,187,112,"Dunbar, Bonnie J.","Dunbar, Bonnie J.",female,1949,U.S.,civilian,NASA- 9,1980,4,5,MSP,1995,STS-71,STS-71,STS-71,STS-71,235,0,0,0
400,187,112,"Dunbar, Bonnie J.","Dunbar, Bonnie J.",female,1949,U.S.,civilian,NASA- 9,1980,5,5,MSP,1998,STS-89,STS-89,STS-89,STS-89,211,0,0,0
401,188,2,"Furrer, Reinhard Alfred","Furrer, Reinhard Alfred",male,1940,Germany,civilian,DLR-1,1982,1,1,PSP,1985,STS-61A,STS-61A,STS-61A,STS-61A,168.73,0,0,0
402,189,3,"Messerschmid, Ernst Willi","Messerschmid, Ernst Willi",male,1945,Germany,military,DLR-1,1982,1,1,PSP,1985,STS-61A,STS-61A,STS-61A,STS-61A,168.73,0,0,0
403,190,1,"Ockels, Wubbo Johannes","Ockels, Wubbo Johannes",male,1946,Netherland,civilian,1978 ESA Group,1978,1,1,PSP,1985,STS-61-A,STS-61-A,STS-61-A,STS-61-A,168.73,0,0,0
404,191,113,"O'Connor, Bryan D.","O'Connor, Bryan D.",male,1946,U.S.,military,NASA-9,1980,1,2,pilot,1985,STS-61B Atlantis,STS-61B Atlantis,STS-61B Atlantis,STS-61B Atlantis,165,0,0,0
405,191,113,"O'Connor, Bryan D.","O'Connor, Bryan D.",male,1946,U.S.,military,NASA-9,1980,2,2,commander,1991,STS-40 Columbia,STS-40 Columbia,STS-40 Columbia,STS-40 Columbia,218,0,0,0
406,192,114,"Ross, Jerry L.","Ross, Jerry L.",male,1948,U.S.,military,NASA-9,1980,1,7,MSP,1985,STS-61,STS-61,STS-61,STS-61,165,2,12.2,58.53
407,192,114,"Ross, Jerry L.","Ross, Jerry L.",male,1948,U.S.,military,NASA-9,1980,2,7,MSP,1988,STS-27,STS-27,STS-27,STS-27,105,0,0,58.53
408,192,114,"Ross, Jerry L.","Ross, Jerry L.",male,1948,U.S.,military,NASA-9,1980,3,7,MSP,1991,STS-37,STS-37,STS-37,STS-37,143,2,10.58,58.53
409,192,114,"Ross, Jerry L.","Ross, Jerry L.",male,1948,U.S.,military,NASA-9,1980,4,7,MSP,1993,STS-55,STS-55,STS-55,STS-55,239,0,0,58.53
410,192,114,"Ross, Jerry L.","Ross, Jerry L.",male,1948,U.S.,military,NASA-9,1980,5,7,MSP,1995,STS-74,STS-74,STS-74,STS-74,129,1,7.24999999999999,58.53
411,192,114,"Ross, Jerry L.","Ross, Jerry L.",male,1948,U.S.,military,NASA-9,1980,6,7,MSP,1998,STS-88,STS-88,STS-88,STS-88,283,2,14.38,58.53
412,192,114,"Ross, Jerry L.","Ross, Jerry L.",male,1948,U.S.,military,NASA-9,1980,7,7,MSP,2002,STS-110,STS-110,STS-110,STS-110,259,2,14.12,58.53
413,193,115,"Cleave, Mary L.","Cleave, Mary L.",female,1947,U.S.,civilian,NASA- 9,1980,1,2,MSP,1985,STS-30,STS-30,STS-30,STS-30,97,0,0,0
414,193,115,"Cleave, Mary L.","Cleave, Mary L.",female,1947,U.S.,civilian,NASA- 9,1980,2,2,MSP,1989,STS-61-B,STS-61-B,STS-61-B,STS-61-B,165,0,0,0
415,194,116,"Spring, Sherwood C.","Spring, Sherwood C.",male,1944,U.S.,military,1980 NASA group,1980,1,1,MSP,1985,STS-61-B,STS-61-B,STS-61-B,STS-61-B,165,2,12.17,12.17
416,195,1,"Neri Vela, Rodolfl",NA,male,1952,Mexico,civilian,1985 NASA Group,1985,1,1,PSP,1985,STS-61-B,STS-61-B,STS-61-B,STS-61-B,165.07,0,0,0
417,196,117,"Bolden, Charles F., Jr.","Bolden, Charles F., Jr.",male,1946,U.S.,military,NASA- 9,1980,1,4,pilot,1986,STS-61-C,STS-61-C,STS-61-C,STS-61-C,74,0,0,0
418,196,117,"Bolden, Charles F., Jr.","Bolden, Charles F., Jr.",male,1946,U.S.,military,NASA- 9,1980,2,4,pilot,1990,STS-31,STS-31,STS-31,STS-31,121,0,0,0
419,196,117,"Bolden, Charles F., Jr.","Bolden, Charles F., Jr.",male,1946,U.S.,military,NASA- 9,1980,3,4,commander,1992,STS-45,STS-45,STS-45,STS-45,214,0,0,0
420,196,117,"Bolden, Charles F., Jr.","Bolden, Charles F., Jr.",male,1946,U.S.,military,NASA- 9,1980,4,4,commander,1994,STS-60,STS-60,STS-60,STS-60,199,0,0,0
421,197,118,"Chang-Diaz, Franklin R.","Chang-Diaz, Franklin R.",male,1950,U.S.,civilian,NASA- 9,1980,1,7,MSP,1986,STS-61-C,STS-61-C,STS-61-C,STS-61-C,146,0,0,19.52
422,197,118,"Chang-Diaz, Franklin R.","Chang-Diaz, Franklin R.",male,1950,U.S.,civilian,NASA- 9,1980,2,7,MSP,1989,STS-34,STS-34,STS-34,STS-34,120,0,0,19.52
423,197,118,"Chang-Diaz, Franklin R.","Chang-Diaz, Franklin R.",male,1950,U.S.,civilian,NASA- 9,1980,3,7,MSP,1992,STS-46,STS-46,STS-46,STS-46,191,0,0,19.52
424,197,118,"Chang-Diaz, Franklin R.","Chang-Diaz, Franklin R.",male,1950,U.S.,civilian,NASA- 9,1980,4,7,MSP,1994,STS-60,STS-60,STS-60,STS-60,199,0,0,19.52
